Title,Price,Product-SKU,Product-Barcode,Colors,Sizes,URL
,"Rs.2,890",0137895,WUC25X30040,,,https://zellbury.com/products/shirt-shalwar-dupatta-wuc25x30040
,"Rs.3,290",0131451,WUS25E30592,,,https://zellbury.com/products/shirt-shalwar-dupatta-wus25e30592
,"Rs.2,490",0116907,WUW24X30362,,,https://zellbury.com/products/shirt-shalwar-dupatta-wuw24x30362
,"Rs.2,290",0116899,WUW24E20436,,,https://zellbury.com/products/shirt-dupatta-wuw24e20436
,"Rs.2,490",0116966,WUW24X30458,,,https://zellbury.com/products/shirt-shalwar-dupatta-wuw24x30458
,"Rs.1,990",0116878,WUW24X20424,,,https://zellbury.com/products/shirt-dupatta-wuw24x20424
,"Rs.2,490",0116923,WUW24X30357,,,https://zellbury.com/products/shirt-shalwar-dupatta-wuw24x30357
,"Rs.1,990",0116886,WUW24X20339,,,https://zellbury.com/products/shirt-shalwar-wuw24x20339
,"Rs.2,290",0116896,WUW24E20353,,,https://zellbury.com/products/shirt-shalwar-wuw24e20353
,"Rs.3,390",0116983,WUW24E30403,,,https://zellbury.com/products/shirt-shalwar-dupatta-wuw24e30403
,"Rs.3,690",0116995,WUW24E30482,,,https://zellbury.com/products/shirt-shalwar-shawl-wuw24e30482
,"Rs.2,490",0116926,WUW24X30359,,,https://zellbury.com/products/shirt-shalwar-dupatta-wuw24x30359
,"Rs.2,490",0116956,WUW24X30379,,,https://zellbury.com/products/shirt-shalwar-dupatta-wuw24x30379
,"Rs.2,490",0116954,WUW24X30388,,,https://zellbury.com/products/shirt-shalwar-dupatta-wuw24x30388
,"Rs.3,390",0119110,WUW24E30476,,,https://zellbury.com/products/shirt-shalwar-dupatta-wuw24e30476
,"Rs.2,890",0119764,WUW24X30520,,,https://zellbury.com/products/shirt-shalwar-dupatta-wuw24x30520
,"Rs.2,890",0119101,WUW24X30526,,,https://zellbury.com/products/shirt-shalwar-dupatta-wuw24x30526
,"Rs.1,490",0129804,MB25005,"Black,Brown","34,36,38,40,42,44",https://zellbury.com/products/single-side-belt-mb25005
,"Rs.1,490",0134044,MB25020,"Black,Brown","34,36,38,40,42,44",https://zellbury.com/products/single-side-belt-mb25020
,"Rs.1,490",0134068,MB25022,Black/Brown,"34,36,38,40,42,44",https://zellbury.com/products/double-side-belt-mb25022
,"Rs.1,490",0129780,MB25003,"Black,Dark Brown","34,36,38,40,42,44",https://zellbury.com/products/single-side-belt-mb25003
,"Rs.1,890",0129756,MB25001,"Black,Camel","34,36,38,40,42,44",https://zellbury.com/products/single-side-belt-mb25001
,"Rs.1,490",0134038,MB25019,"Black,Brown","34,36,38,40,42,44",https://zellbury.com/products/single-side-belt-mb25019
,"Rs.1,490",0134026,MB25017,Black/Brown,"34,36,38,40,42,44",https://zellbury.com/products/double-side-belt-mb25017
,"Rs.1,890",0135894,MB25026,Black/Brown,"34,36,38,40,42,44",https://zellbury.com/products/double-side-belt-mb25026
,"Rs.1,890",0135900,MB25027,Black/Brown,"34,36,38,40,42,44",https://zellbury.com/products/double-side-belt-mb25027
,"Rs.1,890",0135882,MB25024,Black/Brown,"34,36,38,40,42,44",https://zellbury.com/products/double-side-belt-mb25024
,Rs.690,0120047,MCH25E002,"Black,Tan,Chocolate Brown",,https://zellbury.com/products/card-holder-mch25e002
,"Rs.1,690",0128024,MW25E004,,,https://zellbury.com/products/wallet-mw25e004
,"Rs.2,190",0088729,MD221038,,"30,32,34,36,38",https://zellbury.com/products/signature-denim-msd1038
,"Rs.2,190",0099901,MC24S029,"Black,Navy,Chocolate,Khakhi,Olive,Camel,Beige","30,32,34,36,38",https://zellbury.com/collections/chinos/products/signature-chino-mc24s?variant=42275167862831
,"Rs.2,990",0118604,MJP25004,Denim Blue,"S,M,L,XL",https://zellbury.com/products/popknit-jogger-pant-mjp25004-denim-blue
,"Rs.2,890",0129961,MCT25001,Chocolate,"30,32,34,36,38,40",https://zellbury.com/products/all-day-satin-pant-chocolate
,"Rs.2,790",0132356,MAP25001,Black,"30,32,34,36,38,40",https://zellbury.com/products/all-day-pant-map25001-black
,"Rs.2,790",0132355,MAP25001,Cloud,"30,32,34,36,38,40",https://zellbury.com/products/all-day-pant-map25001-cloud
,"Rs.2,890",0129960,MCT25001,Brown,"30,32,34,36,38,40",https://zellbury.com/products/all-day-satin-pant-brown
,"Rs.2,890",0129966,MCT25001,Olive,"30,32,34,36,38,40",https://zellbury.com/products/all-day-satin-pant-olive
,"Rs.2,890",0129965,MCT25001,Navy,"30,32,34,36,38,40",https://zellbury.com/products/all-day-satin-pant-navy
,"Rs.2,890",0129963,MCT25001,Khaki,"30,32,34,36,38,40",https://zellbury.com/products/all-day-satin-pant-khaki
,"Rs.2,890",0129962,MCT25001,Dark Grey,"30,32,34,36,38,40",https://zellbury.com/products/all-day-satin-pant-dark-grey
,"Rs.2,890",0129982,MCT25001,Light Grey,"30,32,34,36,38,40",https://zellbury.com/products/all-day-satin-pant-light-grey
,"Rs.2,890",0129977,MCT25001,Black,"30,32,34,36,38,40",https://zellbury.com/products/all-day-satin-pant-black
,"Rs.2,890",0129985,MCT25001,Sand,"30,32,34,36,38,40",https://zellbury.com/products/all-day-satin-pant-sand
,"Rs.2,790",0132363,MAP25001,Khaki,"30,32,34,36,38,40",https://zellbury.com/products/all-day-pant-map25001-khaki
,"Rs.2,790",0132362,MAP25001,Grey,"30,32,34,36,38,40",https://zellbury.com/products/all-day-pant-map25001-grey
,"Rs.2,790",0132364,MAP25001,Navy,"30,32,34,36,38,40",https://zellbury.com/products/all-day-pant-map25001-navy
,"Rs.2,190",0099901,MC24S029,"Black,Navy,Chocolate,Khakhi,Olive,Camel,Beige","30,32,34,36,38",https://zellbury.com/products/signature-chino-mc24s
,"Rs.1,990",0095067,MC23007,"Brown,Olive,Navy,Khaki,Grey,Beige,Black","30,32,34,36,38",https://zellbury.com/collections/chinos/products/essential-chinos-mec002?variant=42331421507631
,"Rs.1,990",0095067,MC23007,"Brown,Olive,Navy,Khaki,Grey,Beige,Black","30,32,34,36,38",https://zellbury.com/products/essential-chinos-mec002
,"Rs.2,190",0091894,MC23009,"Grey,Olive,Brown,Chocolate,Dark Grey,D.Grey,Khaki,Beige,Black,Khakhi,Navy,Cloud","30,32,34,36,38",https://zellbury.com/collections/chinos/products/signature-chinos-msc001?variant=42331422425135
,"Rs.2,190",0091894,MC23009,"Grey,Olive,Brown,Chocolate,Dark Grey,D.Grey,Khaki,Beige,Black,Khakhi,Navy,Cloud","30,32,34,36,38",https://zellbury.com/products/signature-chinos-msc001
,"Rs.2,490",0104104,MC24S036,"Black,Grey,Olive,Beige,Navy,Khakhi,Camel,Cloud,Charcoal,Brown","30,32,34,36,38",https://zellbury.com/collections/chinos/products/signature-chinos-s034?variant=42599715471407
,"Rs.2,490",0104104,MC24S036,"Black,Grey,Olive,Beige,Navy,Khakhi,Camel,Cloud,Charcoal,Brown","30,32,34,36,38",https://zellbury.com/products/signature-chinos-s034
,"Rs.2,490",0108750,MC24S046,"Olive,Beige,Navy,Brown,Sand,Grey,Dark Grey,Khaki,Chocolate,Black","30,32,34,36,38",https://zellbury.com/collections/chinos/products/signature-chinos?variant=42911870091311
,"Rs.2,490",0108750,MC24S046,"Olive,Beige,Navy,Brown,Sand,Grey,Dark Grey,Khaki,Chocolate,Black","30,32,34,36,38",https://zellbury.com/products/signature-chinos
,"Rs.2,190",0108961,MC24E001,"Khaki,Cloud,Grey,Olive,Navy,Black,Beige","30,32,34,36,38",https://zellbury.com/collections/chinos/products/essential-essential-chino-mc24e001?variant=43052388024367
,"Rs.2,190",0108961,MC24E001,"Khaki,Cloud,Grey,Olive,Navy,Black,Beige","30,32,34,36,38",https://zellbury.com/products/essential-essential-chino-mc24e001
,"Rs.2,490",0111306,MC25S001,"Chocolate,Olive,Navy,Khaki,Grey,Beige,Black,Cloud,Brown,Dark Grey","30,32,34,36,38",https://zellbury.com/collections/chinos/products/signature-chino-mc25s001?variant=43214659026991
,"Rs.2,490",0111306,MC25S001,"Chocolate,Olive,Navy,Khaki,Grey,Beige,Black,Cloud,Brown,Dark Grey","30,32,34,36,38",https://zellbury.com/products/signature-chino-mc25s001
,"Rs.2,490",0114418,MC25S002,"Black,Cloud,Beige,Brown,Charcoal,Grey,Khaki,Navy,Olive","30,32,34,36,38",https://zellbury.com/collections/chinos/products/signature-chino-mc25s002?variant=43339287298095
,"Rs.2,490",0114418,MC25S002,"Black,Cloud,Beige,Brown,Charcoal,Grey,Khaki,Navy,Olive","30,32,34,36,38",https://zellbury.com/products/signature-chino-mc25s002
,"Rs.2,190",0114492,MC24E003,"Beige,Black,Brown,Grey,Navy,Olive,Stone2","30,32,34,36,38,40",https://zellbury.com/collections/chinos/products/essential-chino-mc24e003?variant=43431131283503
